bootstrap_rep,aitchison_median,aitchison_p95,U75_median_pp,U95_median_pp
119,3.652777961164533,5.960590201969179,1.1699849170839618,1.852783033942385
120,3.6856302751885326,5.998537442647935,1.1636850876905744,1.8522795157237621
121,3.6831448191604412,5.980679505269448,1.1688549393397354,1.8671859659466086
122,3.6376240255788037,5.963019053759483,1.1643233746856931,1.8575871001876976
123,3.640125864612323,5.9346806225804265,1.1676880866511092,1.8432905446783747
124,3.6706259332177877,5.932908704047992,1.1671259764317248,1.8567864659002884
125,3.7024567262210284,5.9199465193176,1.1557921638305357,1.855114901750213
126,3.6198357843751325,5.950424129590352,1.171338775842457,1.8732227878405832
127,3.630075605974524,5.954562592363012,1.1689568686517553,1.8637207708184145
128,3.6800534936292686,5.9772527125942805,1.1675751731297535,1.848459474574574
129,3.7012499092371476,5.9709238072008,1.1655614287059715,1.8936362212994005
130,3.6200506775223027,5.937371046376481,1.164174058312879,1.8809540175545858
131,3.6959070563734753,5.951169631727049,1.1693826850432483,1.8604509796381992
132,3.7116959537218412,6.002644218343674,1.156760805954868,1.8555147776168357
133,3.6732732941683146,5.960211564540753,1.1720369827726331,1.8626305103807905
134,3.706973245635592,5.955601889351002,1.1638961368728302,1.8488127239893526
135,3.6755275427510274,5.987345959667688,1.1750014682536685,1.8422423903760543
136,3.6639101514095085,5.946023526498469,1.1624621420668686,1.8578961054410235
137,3.6667724920810323,5.971093328929973,1.1758831384308364,1.880654394534854
138,3.6476992660248357,5.995622391803029,1.1659905200114467,1.8679703168748123
139,3.682125685084017,5.9623987954721915,1.1644849910668997,1.8724465612638426
140,3.709157496736729,5.9808684993478005,1.1627193714615425,1.8630563578647625
141,3.6027039883832668,5.946799750419074,1.1660780132444517,1.8493559660327443
142,3.668883853559897,5.955234132721555,1.1620171537046151,1.84910347301486
143,3.6557371197090753,5.9580050687062736,1.1668195029699076,1.861161109219658
144,3.684603786907221,5.9774512098491215,1.1702155195640378,1.8758188510125482
145,3.6355341369137935,5.975096584854926,1.1697323449638526,1.8369014894062468
146,3.700339520788877,5.987702350806554,1.1634525115884014,1.8421919530889188
147,3.6516403133921957,5.96088753977782,1.1741974297718543,1.8545049013954817
148,3.6706791575932662,5.935795634292331,1.176603431690935,1.8570619938921507
149,3.6906790891887313,5.94728596566785,1.1698452675980757,1.8609559203025747
150,3.6449086570627336,5.973979520438244,1.166772837013467,1.86265322121258
151,3.6323138933428236,5.951503075821159,1.1668281015902666,1.86810871644778
152,3.660796225658948,5.936355577906589,1.1616083185980837,1.8470384405868394
153,3.656698808266184,5.97212569554989,1.1729644608350354,1.8797726404331354
154,3.679390771639825,6.011484214359477,1.1671356737999377,1.8589138245049235
155,3.6640178248741058,5.997057337962464,1.1625514719386036,1.837696697933866
156,3.6329121897783634,5.939795233396952,1.1655124551995297,1.842416512992492
157,3.62608360110678,5.929983737154346,1.1689821160146296,1.8695765175483903
158,3.624299683672257,5.926224658451929,1.1661625370130582,1.8632138308987518
159,3.6708179615049734,5.976344640295264,1.1703950904596405,1.8593009017869304
160,3.652992224275742,5.928963600306816,1.1633928236273743,1.8423802524246522
161,3.6179655335106187,5.915771268617735,1.1702042172765532,1.8557404762150593
162,3.578491331924149,5.944740423900486,1.1659407959000498,1.8736836849647869
163,3.6357435560319047,5.920354368969404,1.168068233127053,1.8417101073873812
164,3.646591636675529,5.930134826073073,1.157594734698565,1.8459965492949324
165,3.6234674274459677,5.953567974419314,1.1599021677063162,1.8651039180328883
166,3.6338749435662745,5.9315414904772625,1.1626175586723018,1.8478351296255124
167,3.6311841718270728,5.959235870819322,1.1731214929838862,1.8508217872472963
168,3.621286573429306,5.8894416250743395,1.1612532606342552,1.8483332852576795
169,3.6672584003108364,5.94936343199048,1.162843155635557,1.8598997039814082
170,3.6526507060782105,5.948034247564269,1.1726485762801397,1.8746152829106095
171,3.6464597651806234,5.98028867235138,1.160312967285827,1.8542370061650144
172,3.659471228472586,5.914660497591924,1.1693942586941963,1.8634335062316754
173,3.6934147270021964,5.982828439495677,1.1667863676772083,1.8613146594874437
174,3.6381948504293358,5.947548441247843,1.1690614951831086,1.8469329474457234
175,3.665391995955483,6.006171227629233,1.158273175909897,1.8458197503358207
176,3.6115000859585558,5.923119284631119,1.1680014902714615,1.8557871984764236
177,3.6775005693425213,5.956535785887624,1.1686065513415405,1.858693325950171
178,3.6606604877773408,5.94448012993252,1.164964122699084,1.8410375872293487
179,3.6767363970621507,5.932285156865219,1.165299110372597,1.8250708864221097
180,3.647949980172523,5.939535996991256,1.1654507733456247,1.8266576541949058
181,3.6439520531399814,5.9671980013509405,1.1647061323799557,1.8298736385232337
182,3.651457467013147,5.950123272762395,1.171652205163799,1.8519322639013573
183,3.6884170809577497,6.004603373204765,1.1756236324703684,1.848780348287628
184,3.7206066036620262,5.946228473196638,1.1777545577419861,1.8381106538584975
185,3.6372431303597392,5.943159538284101,1.1719659112746508,1.8376373724077664
186,3.6472933109274335,5.968170562525687,1.1608813754257272,1.868345127637769
187,3.6283557422672166,5.945673905011407,1.1778270071898813,1.873514298509789
188,3.6223270805030854,5.952555811665799,1.1630682521262556,1.8655844301941515
189,3.652264977134414,5.9738981569657925,1.163999282869799,1.8710969746755897
190,3.6388371936990977,5.99553758754702,1.1690895211949894,1.8488351447076832
191,3.662434443022043,5.97728537676137,1.1751948817146785,1.8661595084270521
192,3.5766418867323186,5.921139559610689,1.1639074937679301,1.8415144597880868
193,3.627727721111116,5.887240857716194,1.1634380958590278,1.8570569056394493
194,3.655144792708278,5.899807342211828,1.1686146102913386,1.8663735348800046
195,3.631212300093186,5.949243061485977,1.1692953354854505,1.8691392558551618
196,3.6281320585646406,5.939162284657969,1.1691588509015816,1.8579324454058033
197,3.684412817116731,6.026695010952992,1.1667703332521033,1.8563051755143751
198,3.6400622638356905,5.939628049410405,1.167889012763958,1.8718781607079005
199,3.6559780955838836,5.942587915822918,1.1669235940136782,1.8556107682138872
200,3.6606794370030933,5.986798840885178,1.165194893436691,1.8664451972864404
201,3.6546993114820707,5.930197438543262,1.1683558900792503,1.8655320409179792
202,3.6577876609696665,5.928064362520549,1.1605803949159734,1.8593661599040345
203,3.6668476325335515,5.9928222899441135,1.1716002240151053,1.836804367123749
204,3.6261483168947017,5.947692150957141,1.1747428083198967,1.8402193186849236
205,3.6711529708631643,5.931481082333331,1.1702200505684721,1.8511828267146297
206,3.64819449457592,5.951600336564626,1.1579456939169503,1.8379544337467397
207,3.6922764223763935,5.950008097100955,1.1574266003572968,1.8487396880953773
208,3.6285187097981972,5.894401536873719,1.1658770647658288,1.8704534102930013
209,3.637706671614103,5.942951433000658,1.161717129051327,1.8542665883669793
210,3.6447956308370633,5.939196797034397,1.1594624057217207,1.8434899474346893
211,3.6289008349934417,5.94556931525433,1.1572122277750678,1.8576964239119653
212,3.678758870307952,5.97736358494779,1.1700241721100118,1.8696987164684793
213,3.6788013974303095,5.971491722974762,1.1671639446026494,1.8602003154296862
214,3.6632937413941074,5.9768376983701925,1.1632432802777943,1.8500843851774142
215,3.600363643167787,5.989870577669713,1.1733926434723705,1.8620975198691951
216,3.6817586391579,5.969241763913647,1.157702236536592,1.8524583290844578
217,3.625024123100617,5.918653185235733,1.1457664140583346,1.8540594459627586
218,3.6436589236094794,5.95860336408565,1.1677343708027719,1.8554032286959143
219,3.5928721821460674,5.979911252997304,1.1712035292852416,1.8395612528694425
220,3.6816792612475235,5.974602194473974,1.1676112362072004,1.8536731111610794
221,3.6783195238828843,5.954046256387842,1.171915777392156,1.8685137808156287
222,3.638207188755925,5.956611228510223,1.167377409828203,1.8568980321349253
223,3.64242053494526,5.952162263382139,1.1658971924050885,1.8750454377494479
224,3.687673736193719,5.953371809942505,1.1591562282907057,1.8590676161559687
225,3.6670854447613954,5.969456879871989,1.1647027784468245,1.8530232199973875
226,3.680559024799662,5.9646103316195,1.1707126323449368,1.8402048453152213
